Substance ,Sector,CountryID,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021
CO2,Transport ,AUS,91.82825271,91.97974168,94.15307558,95.59078539,97.68261478,99.14382053,99.36695523,83.11543312,84.67517376
CO2,Transport ,CAN,181.6867023,180.0707094,179.8248592,180.2149831,185.3253513,192.1300743,191.5153596,160.4965483,165.3344189
CO2,Transport ,CHN,741.0943685,770.3500344,828.4621343,845.3566383,877.8151263,902.5358458,901.4190912,897.9806658,955.4630069
CO2,Transport ,EGY,51.3997217,53.59516237,54.97908923,57.39636995,55.71270695,53.87679232,53.95597631,46.03612018,49.98516323
CO2,Transport ,FRA,126.417779,126.5657721,127.8001785,128.3321676,128.8780344,125.9883983,125.6876756,105.1721945,114.3145462
CO2,Transport ,DEU,152.3669749,154.5730166,157.5904129,161.0244212,163.4917876,158.0381425,160.4319293,144.3912965,143.4511291
CO2,Transport ,HKG,6.508139884,6.573398678,7.285435494,7.720996945,8.343534553,7.934568593,8.188103304,5.76213944,5.152612566
CO2,Transport ,IND,226.2589181,235.7471529,257.7478525,269.3869018,291.2317057,305.3334206,307.8619264,276.0626637,286.2325537
CO2,Transport ,IRN,128.2370757,141.1521373,139.1051688,130.2402826,134.8308337,139.2590271,138.0820531,131.4254119,133.1328486
CO2,Transport ,IRQ,31.6300436,25.06276095,24.01324599,24.51688509,27.86232401,32.47541013,34.52097963,30.1471261,34.54927849
CO2,Transport ,ITA,100.7233443,105.3928494,103.0085006,101.7112539,97.61105756,100.2025818,100.9186845,82.66737404,92.10101012
CO2,Transport ,JPN,218.0273723,211.9674382,211.3203482,208.8957493,207.0885521,204.6263997,201.0720097,176.6418209,179.8671039
CO2,Transport ,MAR,15.20647769,15.40688064,16.37538129,17.08437575,17.67681171,18.16465043,19.00300523,16.54843941,18.45174388
CO2,Transport ,PAK ,36.59153709,39.05670837,44.06908186,49.13411764,53.84134354,49.33503698,49.82288785,48.43003918,55.68869883
CO2,Transport ,PHL,25.563349,26.64647248,30.82101731,33.33541641,34.37764234,35.63941654,36.88005066,29.7086517,32.36317948
CO2,Transport ,SAU ,128.9047694,136.7232131,146.9389169,146.4491477,142.9098914,136.1028121,136.3799313,130.4298787,131.7272163
CO2,Transport ,TUR,57.20430573,60.93240749,72.5081174,79.15165419,82.8433567,83.37021156,83.52068147,75.10632109,77.35926048
CO2,Transport ,GBR,114.1736604,115.6427202,118.8202478,121.6276114,122.0871705,120.5459003,118.4547158,90.29452212,95.7793162
CO2,Transport ,USA,1646.937185,1639.845994,1700.046859,1711.218314,1724.017457,1762.235361,1757.344833,1502.2344,1647.571697
